Row,Col,Corr
362,Fusobacteria_Leptotrichia,Firmicutes_Acidaminococcus,-0.040953004
363,Firmicutes_Macrococcus,Firmicutes_Acidaminococcus,-0.003413405
364,Firmicutes_Megamonas,Firmicutes_Acidaminococcus,0.070689943
365,Firmicutes_Megasphaera,Firmicutes_Acidaminococcus,0.718762174
366,Euryarchaeota_Methanobrevibacter,Firmicutes_Acidaminococcus,0.504350676
367,Firmicutes_Mitsuokella,Firmicutes_Acidaminococcus,0.548460362
368,Firmicutes_Mogibacterium,Firmicutes_Acidaminococcus,0.060549712
369,Firmicutes_Moryella,Firmicutes_Acidaminococcus,-0.083521973
370,Proteobacteria_Neisseria,Firmicutes_Acidaminococcus,-0.295962251
371,Bacteroidetes_Odoribacter,Firmicutes_Acidaminococcus,0.230015406
372,Firmicutes_Oscillospira,Firmicutes_Acidaminococcus,0.178072147
