Sample,Category,g__Anaerostipes,g__Prevotella,g__Parabacteroides,g__un_f_Ruminococcaceae,g__un_f_Lachnospiraceae,g__Phascolarctobacterium,g__Ruminococcus,g__Blautia,g__un_o_Clostridiales,g__Coprococcus,g__un_f_Barnesiellaceae,g__Odoribacter,g__Bilophila,g__Roseburia,g__un_f_Clostridiaceae,g__Lachnospira,g__Dorea,g__Butyricimonas,g__Desulfovibrio,g__Dialister,g__Megasphaera,g__Oscillospira,g__un_f_Rikenellaceae,g__Bifidobacterium,g__un_f_S24_7,g__Clostridium,g__Lactobacillus,g__Collinsella,g__Paraprevotella,g__Megamonas,g__Veillonella,g__Fusobacterium,g__Sutterella,g__Streptococcus,g__un_f_Enterobacteriaceae,g__Haemophilus,g__Bacteroides
ZR6_20,HBVI,11,38302,8020,8618,2387,35803,3279,184,620,62,481,1879,766,51,527,13,91,588,3192,38,19,2268,4867,1316,4785,551,2,157,29,1415,1264,7,3298,259,5061,181,61478
ZR7_15,HBVI,0,3,4943,8014,811,3404,2015,131,953,46,19,0,65,0,54,0,21,8388,1014,11,0,2150,1365,72,0,0,3,1,0,3,126,0,1493,24,32310,84,78888
ZR7_17,HBVI,0,8,960,69,979,2,867,9,26,2,0,0,413,0,22,0,1,0,0,6,0,39,0,347,0,124,1,1,0,39853,28286,1282,4079,72,9040,111,45876
ZR7_22,HBVI,41,90623,2057,13141,3180,5301,2811,71,3336,3529,426,1830,201,128,148,153,106,2120,2742,4586,1255,1142,2353,1299,0,58,0,180,4103,374,15,1,1052,21,104,75,17727
ZR9_15,HBVI,45,34940,1168,7887,1443,8689,994,280,579,52,1071,859,134,33,125,194,63,759,209,3,11,1312,1307,251,1105,29,1,13,0,6,0,36,982,11,406,10,14646
ZR9_16,HBVI,178,49491,266,10876,11569,683,604,141,1235,808,30,34,102,292,302,611,345,25,65,1333,0,657,59,10,1292,149,18,16,0,3,91,1,803,89,63,1345,2353
ZR9_17,HBVI,528,14608,885,4999,9522,5814,394,120,999,143,49,72,446,271,218,137,108,167,21,1,0,224,75,58,3,70,2,11,0,148,220,1,2822,19,1475,282,55820
ZR9_18,HBVI,146,19,971,1286,478,13678,649,70,282,9,783,128,233,475,14,256,66,93,3759,148,1197,206,268,1,293,92,0,90,0,27707,9,2,667,6,6472,0,36917
ZR9_19,HBVI,282,26113,873,7876,9146,20096,420,964,1037,83,621,864,183,751,65,609,215,386,29,0,0,1012,296,9,0,318,0,34,0,12464,81,3207,2724,14,78,135,60780
ZR9_20,HBVI,607,92,327,11516,12944,40828,4262,983,682,83,846,2,0,18,2939,283,305,142,1,1,0,835,810,17,16,914,150,22,0,97,103,35,31,21,312,1534,62714
ZR9_21,HBVI,13,26,348,3268,1566,7,155,396,458,89,76,394,80,25,12,1,38,0,0,1434,0,2549,194,5,7,0,51,0,0,44,15,4,344,1,121,2,78054
HBT_12,CHB,58,59458,305,18165,15886,6411,4788,3438,821,8901,21,31,4,1117,2996,9209,1230,54,472,973,1,531,121,2184,1095,338,37,250,602,1279,1121,340,1252,1169,4138,1750,3952
HBV_11,CHB,622,82,6819,14403,4999,1690,3566,3036,1150,924,867,249,148,616,1259,565,642,229,947,4,9,997,1093,56,1,743,4711,0,0,238,109,466,765,3821,41,22,48967
HBV_12,CHB,14,537,2111,1029,4757,3950,991,1709,345,268,1,48,235,3306,413,324,144,734,145,12,0,726,74,4,1,81,88,0,0,3,315,1,1,1261,1555,10,57914
HBV_22,CHB,0,2246,670,7100,6178,17,1196,902,297,331,95,108,54,6668,1027,1004,401,30,118,5556,832,44,365,159,357,181,20,0,820,10,2356,1186,6851,387,172,205,45712
HBV_46,CHB,110,21995,674,13452,3163,4364,1682,942,2945,506,194,121,82,237,104,194,249,48,0,2,0,90,115,109,2,111,1,74,521,38583,105,1,1100,308,41,551,13066
HBV_5,CHB,95,19,875,2378,10180,7925,489,2907,294,261,0,0,127,498,276,626,194,0,10,5,8,269,935,381,0,193,247,13,1,13,4884,6,1802,4667,348,2488,61244
HBV_56,CHB,36,17,790,5247,7104,3624,1606,446,94,88,1,0,203,17197,406,8296,5146,165,0,14,2,654,18,19,0,3209,0,0,0,1,1834,866,4517,4758,74,8613,45346
HBV_59,CHB,0,13,5660,1124,868,1,269,321,1,86,0,0,260,2,146,9,160,0,1,8,5264,458,0,2019,2,18,967,0,0,2,26661,15,337,1198,10668,60,34602
HBV_61,CHB,288,41787,1560,18343,15092,5638,1996,850,7769,1308,906,123,149,1480,8283,4200,289,255,1126,1295,3,148,1822,19,1006,544,174,59,1981,1573,615,3,171,93,5,875,12807
HBV_64,CHB,6,17787,41,9404,7363,1854,3121,2092,1036,1264,43,12,13,3618,645,4669,570,2,8,1315,2040,166,71,2555,1846,727,206,0,128,12150,7827,20,672,740,20791,5685,12229
HBV_68,CHB,71,44601,1010,17948,6105,1109,3791,1296,1502,666,0,43,30,1520,216,5205,617,65,0,1608,4,260,800,35,1,125,583,1,623,5,10898,7,38,4465,289,242,13715
ZR4_14,CHB,0,7453,215,838,3637,7,457,730,491,82,0,1,0,6,69,125,76,489,52,186,616,21,1,90,2,79,8007,0,2,2,4375,570,770,251,6856,5,17344
ZR4_15,CHB,87,7277,1716,7897,3124,1223,1387,1357,1535,843,0,883,129,1607,1976,592,651,122,0,195,2359,458,866,4983,0,237,26,963,0,3,50,2,564,66,3805,7,16344
ZR4_2,CHB,0,420,4228,422,7426,10150,6371,75,56,37,0,308,171,0,7,2,1084,793,1147,9,76,324,2537,151,667,3,110,928,0,8466,6,33518,198,210,4228,2,22600
ZR4_22,CHB,20,25161,795,1582,2607,3660,1185,505,849,120,1,372,45,360,59,354,128,53,49,176,0,170,34,70,0,1,30,0,2202,1,57,1,371,59,414,29,9399
ZR4_30,CHB,290,19713,164,6274,6609,7893,1996,552,1524,189,14,237,4,884,23,2797,68,8,0,2059,2,104,78,1,64,64,364,2,3271,3,418,2,1855,146,143,741,11250
ZR4_35,CHB,8,35748,263,13735,8656,2189,2047,957,456,3112,131,103,93,351,373,5744,275,188,64,1,1374,170,84,2706,2447,43,313,3146,542,7,68,2,830,114,585,87,6536
ZR4_36,CHB,49,189,805,17570,14671,1164,10239,1440,715,1558,561,28,3,8610,955,1342,876,26,2,12,12,265,1430,1302,2,642,10,638,3,4,3395,46,3826,488,1157,4918,69461
ZR4_45,CHB,110,1,390,13178,13563,2407,6607,6744,2380,2479,587,100,167,334,627,111,751,22,0,1,0,395,1363,1132,0,224,435,0,0,3044,230,1,700,189,49,42,12358
ZR4_53,CHB,411,45572,1144,13428,3337,7,1179,2797,536,5016,794,296,60,89,683,167,460,254,86,2597,3,250,1923,1386,0,605,0,887,448,3294,8,20,265,236,347,7,5536
ZR4_55,CHB,6,130,298,3045,3926,2021,11032,3291,261,1171,1,16,1,18,1862,3,8416,2,0,36,4,3444,365,6899,3,1286,11601,10148,1,478,732,169,1125,5405,35826,2,5341
ZR4_57,CHB,272,89,1152,18310,7458,1,13927,4388,3143,2372,1,112,90,1012,1207,233,938,566,824,3132,83,1643,1122,308,4431,173,3203,0,0,0,2989,17,343,1754,18230,80,27005
ZR4_79,CHB,142,46154,895,14235,5784,135,4067,2482,1871,2047,28,125,183,278,3325,1252,847,287,364,2953,1,176,157,61,1618,191,90,507,1,5820,53,168,1582,120,376,34,27726
